#    L    TT             EE             TE             PP             TP          
   285    0.00000E+00    0.00000E+00    0.00000E+00    0.37821E-16    0.94906E-19
   286    0.00000E+00    0.00000E+00    0.00000E+00    0.37792E-16    0.47974E-19
   287    0.00000E+00    0.00000E+00    0.00000E+00    0.37766E-16   -0.26171E-19
   288    0.00000E+00    0.00000E+00    0.00000E+00    0.37740E-16   -0.35101E-19
   289    0.00000E+00    0.00000E+00    0.00000E+00    0.37714E-16    0.24127E-19
   290    0.00000E+00    0.00000E+00    0.00000E+00    0.37684E-16    0.73872E-19
   291    0.00000E+00    0.00000E+00    0.00000E+00    0.37657E-16    0.56465E-19
   292    0.00000E+00    0.00000E+00    0.00000E+00    0.37630E-16   -0.46130E-20
   293    0.00000E+00    0.00000E+00    0.00000E+00    0.37603E-16   -0.41137E-19
   294    0.00000E+00    0.00000E+00    0.00000E+00    0.37575E-16   -0.12957E-19
   295    0.00000E+00    0.00000E+00    0.00000E+00    0.37546E-16    0.54515E-19
   296    0.00000E+00    0.00000E+00    0.00000E+00    0.37518E-16    0.91590E-19
   297    0.00000E+00    0.00000E+00    0.00000E+00    0.37489E-16    0.52514E-19
   298    0.00000E+00    0.00000E+00    0.00000E+00    0.37461E-16   -0.27560E-19
   299    0.00000E+00    0.00000E+00    0.00000E+00    0.37433E-16   -0.61950E-19
   300    0.00000E+00    0.00000E+00    0.00000E+00    0.37402E-16   -0.10735E-19
   301    0.00000E+00    0.00000E+00    0.00000E+00    0.37372E-16    0.68067E-19
   302    0.00000E+00    0.00000E+00    0.00000E+00    0.37343E-16    0.87287E-19
   303    0.00000E+00    0.00000E+00    0.00000E+00    0.37314E-16    0.35448E-19
   304    0.00000E+00    0.00000E+00    0.00000E+00    0.37282E-16   -0.20106E-19
   305    0.00000E+00    0.00000E+00    0.00000E+00    0.37252E-16   -0.23900E-19
   306    0.00000E+00    0.00000E+00    0.00000E+00    0.37223E-16    0.12618E-19
   307    0.00000E+00    0.00000E+00    0.00000E+00    0.37193E-16    0.44850E-19
   308    0.00000E+00    0.00000E+00    0.00000E+00    0.37162E-16    0.47765E-19
   309    0.00000E+00    0.00000E+00    0.00000E+00    0.37129E-16    0.25497E-19
   310    0.00000E+00    0.00000E+00    0.00000E+00    0.37099E-16   -0.35010E-20
   311    0.00000E+00    0.00000E+00    0.00000E+00    0.37067E-16   -0.14363E-19
   312    0.00000E+00    0.00000E+00    0.00000E+00    0.37036E-16    0.75394E-20
   313    0.00000E+00    0.00000E+00    0.00000E+00    0.37005E-16    0.42277E-19
   314    0.00000E+00    0.00000E+00    0.00000E+00    0.36972E-16    0.50306E-19
   315    0.00000E+00    0.00000E+00    0.00000E+00    0.36939E-16    0.23211E-19
   316    0.00000E+00    0.00000E+00    0.00000E+00    0.36908E-16   -0.32516E-20
   317    0.00000E+00    0.00000E+00    0.00000E+00    0.36876E-16    0.18735E-21
   318    0.00000E+00    0.00000E+00    0.00000E+00    0.36843E-16    0.17769E-19
   319    0.00000E+00    0.00000E+00    0.00000E+00    0.36809E-16    0.20063E-19
   320    0.00000E+00    0.00000E+00    0.00000E+00    0.36776E-16    0.10965E-19
   321    0.00000E+00    0.00000E+00    0.00000E+00    0.36743E-16    0.12614E-19
   322    0.00000E+00    0.00000E+00    0.00000E+00    0.36710E-16    0.22732E-19
