#    L    TT             EE             TE          
   483    0.20395E+03    0.44574E+00   -0.11148E+01
   484    0.20431E+03    0.45161E+00   -0.10489E+01
   485    0.20465E+03    0.45781E+00   -0.98306E+00
   486    0.20498E+03    0.46433E+00   -0.91743E+00
   487    0.20529E+03    0.47118E+00   -0.85205E+00
   488    0.20558E+03    0.47836E+00   -0.78694E+00
   489    0.20587E+03    0.48588E+00   -0.72218E+00
   490    0.20613E+03    0.49372E+00   -0.65781E+00
   491    0.20638E+03    0.50190E+00   -0.59385E+00
   492    0.20662E+03    0.51041E+00   -0.53038E+00
   493    0.20684E+03    0.51925E+00   -0.46747E+00
   494    0.20704E+03    0.52842E+00   -0.40511E+00
   495    0.20723E+03    0.53793E+00   -0.34341E+00
   496    0.20741E+03    0.54776E+00   -0.28237E+00
   497    0.20757E+03    0.55793E+00   -0.22207E+00
   498    0.20772E+03    0.56843E+00   -0.16254E+00
   499    0.20785E+03    0.57926E+00   -0.10386E+00
   500    0.20796E+03    0.59042E+00   -0.46012E-01
   501    0.20807E+03    0.60191E+00    0.10859E-01
   502    0.20815E+03    0.61373E+00    0.66810E-01
   503    0.20823E+03    0.62586E+00    0.12171E+00
   504    0.20829E+03    0.63833E+00    0.17557E+00
   505    0.20833E+03    0.65111E+00    0.22829E+00
   506    0.20837E+03    0.66421E+00    0.27991E+00
   507    0.20839E+03    0.67763E+00    0.33026E+00
   508    0.20839E+03    0.69137E+00    0.37943E+00
